FEATURE	GAIN	WEIGHT	COVER	TOTAL_GAIN	TOTAL_COVER
Consistent_Mates	2.4865735275393615	94	48.44798505063832	233.73791158869997	4554.110594760003
InDel_Length	4.146694647910207	147	42.64577621040817	609.5641132428004	6268.929102930001
Inconsistent_Mates	1.1071009534318181	44	26.23111278204544	48.712441951	1154.1689624099993
M2_ECNT	1.476250964477999	50	26.06164375179999	73.81254822389995	1303.0821875899996
M2_TLOD	1.290231170756759	580	23.73171294270687	748.3340790389202	13764.393506769986
MSI	4.551075852607183	181	52.237775223591115	823.7447293219001	9455.037315469992
MSILEN	0.7010151282799998	50	16.1199554204	35.05075641399999	805.99777102
MaxHomopolymer_Length	2.9989736332703734	67	49.626495180149256	200.93123342911503	3324.97517707
SHIFT3	3.8713099290870128	261	54.0686961137548	1010.4118914917103	14111.929685690002
Seq_Complexity_Adj	1.1879754497029313	133	25.963254198120307	158.00073481048986	3453.1128083500007
Seq_Complexity_Span	3.41938370965524	207	42.69514400009663	707.8124278986347	8837.894808020003
SiteHomopolymer_Length	1.0169437664026315	38	19.716451633421045	38.6438631233	749.2251620699997
T_ALT_FOR	4.855687709603963	255	44.620554534156845	1238.2003659490106	11378.241406209996
T_ALT_REV	1.8890100622011314	256	23.00865094617187	483.58657592348965	5890.2146422199985
T_DP	0.6302886465632758	116	20.524678581810345	73.11348300133999	2380.86271549
T_REF_FOR	1.2754562030009868	213	23.9604086925352	271.6721712392102	5103.567051509997
T_REF_REV	0.750353476835688	160	22.115373290062514	120.05655629371007	3538.4597264100025
VarScan2_Score	0.871146081736	25	41.472307493200006	21.7786520434	1036.8076873300001
if_Caller_0	14.387592044628754	32	125.18623579156251	460.4029454281201	4005.9595453300003
if_MuTect	212.52116561258413	19	427.56675069473687	4037.9021466390986	8123.768263200001
if_Scalpel	11.863514737060003	15	110.81034366666667	177.95272105590004	1662.155155
if_Strelka	0.72411207773	10	31.208689602	7.2411207773	312.08689602
if_VarDict	8.510893094487495	40	60.971286525000004	340.43572377949977	2438.851461
if_VarScan2	2.3474911381826082	23	75.73836158869564	53.992296178199986	1741.9823165399996
tBAM_ALT_BQ	12.953983009170587	17	117.3592856647059	220.2177111559	1995.1078563
tBAM_ALT_Clipped_Reads	0.5581225280222221	9	16.87292878777778	5.023102752199999	151.85635909
tBAM_ALT_Concordant	2.216900241833817	110	32.25345726754544	243.85902660171988	3547.880299429999
tBAM_ALT_Discordant	1.161684125029375	32	17.819297432187497	37.17389200094	570.2175178299999
tBAM_ALT_NM	1.6724406613397063	170	20.534289894588234	284.3149124277501	3490.8292820799998
tBAM_Clipping_FET	0.6997686732666668	33	13.728133492121213	23.092366217800006	453.02840524000004
tBAM_Concordance_FET	0.9131344724369999	40	14.286839426499998	36.525378897479996	571.4735770599999
tBAM_NM_Diff	1.211513946290239	177	32.076863961977374	214.43796849337227	5677.6049212699945
tBAM_Other_Reads	1.6463273992175447	57	42.78325680842105	93.84066175540005	2438.64563808
tBAM_REF_BQ	0.513455811145847	137	11.248459346277375	70.34344612698105	1541.0389304400003
tBAM_REF_Clipped_Reads	0.7193209655	55	23.447204485090907	39.5626531025	1289.59624668
tBAM_REF_Concordant	0.9566229481501177	85	22.87889591823529	81.31295059276	1944.7061530499998
tBAM_REF_Discordant	1.1966599940093756	160	20.16722710806249	191.4655990415001	3226.7563372899986
tBAM_REF_InDel_1bp	2.030015318973333	15	78.44520039333334	30.4502297846	1176.6780059
tBAM_REF_InDel_2bp	1.2395080689181819	11	42.75721582818183	13.6345887581	470.3293741100001
tBAM_REF_InDel_3bp	2.8522039783745448	55	47.34744461418179	156.87121881059997	2604.1094537799986
tBAM_REF_MQ	0.632749289	2	109.80290959999999	1.265498578	219.60581919999998
tBAM_REF_NM	1.116011183622299	200	27.213828204749984	223.2022367244598	5442.765640949997
tBAM_StrandBias_FET	1.0176482457905802	138	16.13603795775362	140.43545791910006	2226.7732381699993
tBAM_p_MannWhitneyU_BQ	0.7750078078267696	130	21.446164784000008	100.75101501748004	2788.001421920001
tBAM_p_MannWhitneyU_EndPos	1.8001050549413942	179	29.693322543575412	322.21880483450957	5315.1047352999985
tBAM_p_MannWhitneyU_MQ	1.010023921	2	11.93311479	2.020047842	23.86622958
